,In1,In3,In6,In8,In9,In10,Out1
0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
1,0.0,0.6666666666666667,0.0,0.0,1.0,1.0,0.9999999999999999
2,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.9999999999999999
3,0.5,1.0,1.0,0.5,0.0,0.5,0.9999999999999999
4,0.0,0.0,1.0,0.0,0.0,0.5,0.33333333333333337
5,0.5,0.6666666666666667,1.0,0.5,0.5,0.0,0.6666666666666666
6,0.5,0.3333333333333333,0.0,0.5,0.5,0.0,0.6666666666666666
7,0.0,0.6666666666666667,1.0,0.0,0.5,1.0,0.6666666666666666
8,0.5,0.0,0.0,1.0,0.0,0.0,0.33333333333333337
9,1.0,0.6666666666666667,0.0,0.5,1.0,0.5,0.6666666666666666
10,1.0,0.3333333333333333,0.0,0.0,0.5,1.0,0.33333333333333337
11,0.5,0.3333333333333333,0.0,0.5,1.0,0.0,0.6666666666666666
12,0.5,0.0,0.0,0.5,0.5,0.5,0.33333333333333337
13,0.5,0.6666666666666667,1.0,1.0,0.5,1.0,0.6666666666666666
14,1.0,0.6666666666666667,0.0,0.5,1.0,0.5,0.6666666666666666
15,1.0,0.3333333333333333,1.0,0.5,0.0,1.0,0.6666666666666666
16,0.5,0.3333333333333333,0.0,0.5,1.0,0.0,0.33333333333333337
17,0.5,0.6666666666666667,1.0,0.5,1.0,0.5,0.6666666666666666
18,0.5,0.3333333333333333,1.0,0.5,0.5,1.0,0.9999999999999999
19,0.5,1.0,1.0,1.0,1.0,0.5,0.9999999999999999
20,0.5,0.0,0.0,0.5,0.0,0.0,0.33333333333333337
21,1.0,0.6666666666666667,0.0,1.0,1.0,1.0,0.9999999999999999
22,0.5,0.6666666666666667,1.0,0.5,0.0,0.0,0.6666666666666666
23,1.0,1.0,0.0,0.5,1.0,0.5,0.6666666666666666
24,1.0,0.3333333333333333,1.0,0.0,0.0,1.0,0.6666666666666666
25,1.0,0.6666666666666667,1.0,0.5,1.0,0.0,0.9999999999999999
26,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.6666666666666666
27,0.5,0.3333333333333333,0.0,0.5,0.5,0.0,0.33333333333333337
28,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,0.9999999999999999
29,1.0,0.3333333333333333,0.0,0.5,0.5,0.0,0.33333333333333337
30,0.5,0.3333333333333333,0.0,1.0,0.0,0.5,0.6666666666666666
31,0.5,1.0,0.0,0.5,1.0,0.5,0.6666666666666666
32,0.5,0.3333333333333333,1.0,0.5,0.5,1.0,0.9999999999999999
33,0.0,0.6666666666666667,1.0,0.0,0.5,1.0,0.33333333333333337
34,0.5,1.0,1.0,0.5,0.0,0.5,0.33333333333333337
35,0.0,0.6666666666666667,1.0,0.0,0.5,1.0,0.6666666666666666
36,0.5,0.6666666666666667,1.0,0.5,0.5,0.0,0.33333333333333337
37,0.0,0.0,0.0,0.0,1.0,0.5,0.9999999999999999
38,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337
39,0.0,0.0,1.0,0.5,0.0,1.0,0.0
40,0.5,0.6666666666666667,0.0,0.5,0.5,1.0,0.9999999999999999
41,0.5,0.0,0.0,0.5,0.0,1.0,0.33333333333333337
42,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,0.9999999999999999
43,0.5,0.0,1.0,1.0,0.0,0.0,0.6666666666666666
44,1.0,0.0,1.0,1.0,0.0,0.5,0.33333333333333337
45,0.5,0.0,0.0,0.5,0.0,0.5,0.6666666666666666
46,0.5,0.3333333333333333,0.0,0.0,0.5,1.0,0.33333333333333337
47,0.5,0.6666666666666667,1.0,0.5,0.5,0.0,0.9999999999999999
48,0.5,0.0,0.0,0.0,0.5,1.0,0.6666666666666666
49,0.0,0.3333333333333333,1.0,0.5,0.5,0.5,0.33333333333333337
50,0.0,0.0,0.0,1.0,0.0,0.0,0.33333333333333337
51,1.0,0.0,0.0,1.0,1.0,0.5,0.33333333333333337
52,0.5,0.6666666666666667,0.0,0.5,0.5,1.0,0.6666666666666666
53,0.5,0.6666666666666667,0.0,0.5,0.5,1.0,0.9999999999999999
54,0.5,0.6666666666666667,1.0,0.5,0.5,1.0,0.9999999999999999
55,0.0,0.0,0.0,0.5,0.5,0.5,0.6666666666666666
56,0.5,0.6666666666666667,1.0,0.5,0.5,1.0,0.6666666666666666
57,1.0,0.0,1.0,1.0,0.0,0.5,0.33333333333333337
58,0.5,0.3333333333333333,0.0,1.0,0.0,0.5,0.6666666666666666
59,0.5,1.0,1.0,1.0,1.0,0.5,0.9999999999999999
60,0.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666
61,0.5,0.3333333333333333,0.0,0.5,0.5,0.0,0.33333333333333337
62,1.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666
63,0.5,1.0,1.0,0.5,0.0,0.5,0.9999999999999999
64,0.5,0.3333333333333333,0.0,1.0,0.0,1.0,0.6666666666666666
65,1.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.6666666666666666
66,1.0,0.6666666666666667,0.0,0.5,1.0,0.5,0.6666666666666666
67,0.5,0.0,1.0,1.0,0.0,0.0,0.6666666666666666
68,1.0,1.0,0.0,0.5,1.0,0.5,0.6666666666666666
69,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337
70,0.5,0.3333333333333333,0.0,1.0,0.5,1.0,0.33333333333333337
71,0.5,0.3333333333333333,0.0,1.0,0.5,1.0,0.33333333333333337
72,0.5,0.0,0.0,0.0,0.0,1.0,0.33333333333333337
73,1.0,0.6666666666666667,0.0,1.0,1.0,1.0,0.6666666666666666
74,0.0,0.3333333333333333,1.0,0.5,0.0,0.5,0.33333333333333337
75,0.5,0.0,0.0,0.5,0.5,0.5,0.33333333333333337
76,0.5,1.0,0.0,0.5,1.0,0.5,0.6666666666666666
77,0.5,0.0,0.0,0.5,0.5,0.5,0.33333333333333337
78,0.5,0.3333333333333333,1.0,0.0,0.5,0.0,0.33333333333333337
79,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337
80,1.0,0.6666666666666667,0.0,0.5,1.0,0.5,0.6666666666666666
81,0.5,1.0,1.0,0.5,1.0,1.0,0.9999999999999999
82,0.5,0.6666666666666667,1.0,0.5,1.0,0.5,0.6666666666666666
83,0.5,0.6666666666666667,1.0,1.0,0.5,1.0,0.9999999999999999
84,0.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.6666666666666666
85,0.5,0.0,0.0,0.5,0.5,0.5,0.33333333333333337
86,0.0,0.6666666666666667,0.0,1.0,0.5,0.0,0.6666666666666666
87,0.0,0.3333333333333333,1.0,0.0,0.5,0.0,0.0
88,0.5,1.0,1.0,0.0,0.5,0.5,0.33333333333333337
89,0.5,0.6666666666666667,1.0,0.5,1.0,1.0,0.9999999999999999
90,0.0,0.3333333333333333,1.0,0.0,0.5,0.0,0.33333333333333337
91,0.5,0.0,1.0,1.0,0.0,0.0,0.33333333333333337
92,0.0,0.0,0.0,1.0,0.0,0.0,0.33333333333333337
93,0.0,0.3333333333333333,1.0,0.5,0.5,0.5,0.33333333333333337
94,0.5,0.6666666666666667,1.0,0.5,1.0,0.5,0.33333333333333337
95,0.5,0.3333333333333333,1.0,0.0,0.5,0.0,0.33333333333333337
96,0.5,0.6666666666666667,1.0,1.0,0.5,0.5,0.6666666666666666
97,0.5,1.0,1.0,0.0,1.0,0.0,0.6666666666666666
98,0.5,0.3333333333333333,0.0,1.0,0.0,0.5,0.33333333333333337
99,0.5,0.6666666666666667,1.0,0.5,0.5,0.0,0.9999999999999999
100,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,0.9999999999999999
101,0.0,1.0,0.0,1.0,0.5,0.5,0.6666666666666666
102,0.0,1.0,1.0,1.0,0.0,0.0,0.6666666666666666
103,1.0,0.6666666666666667,1.0,0.5,0.5,1.0,0.9999999999999999
104,0.0,0.0,1.0,0.0,0.0,0.5,0.0
105,0.5,0.3333333333333333,0.0,0.5,0.5,0.0,0.6666666666666666
106,0.0,0.0,0.0,1.0,0.0,0.0,0.33333333333333337
107,1.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.6666666666666666
108,0.5,0.3333333333333333,0.0,0.5,0.5,0.0,0.33333333333333337
109,0.5,1.0,0.0,0.5,1.0,0.5,0.6666666666666666
110,0.0,1.0,0.0,1.0,0.5,0.5,0.6666666666666666
111,0.5,0.3333333333333333,0.0,0.5,1.0,0.0,0.6666666666666666
112,0.5,0.3333333333333333,1.0,1.0,0.0,0.5,0.6666666666666666
113,0.0,0.3333333333333333,1.0,0.0,0.0,0.5,0.9999999999999999
114,1.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.6666666666666666
115,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,0.9999999999999999
116,0.5,0.0,0.0,0.5,1.0,0.5,0.33333333333333337
117,0.0,0.0,0.0,0.0,1.0,0.5,0.6666666666666666
118,1.0,1.0,0.0,0.5,0.5,0.5,0.9999999999999999
119,0.0,0.0,0.0,1.0,0.5,0.5,0.33333333333333337
120,0.5,1.0,1.0,0.0,1.0,0.0,0.6666666666666666
121,1.0,0.6666666666666667,0.0,0.5,1.0,1.0,0.6666666666666666
122,0.5,0.0,0.0,0.0,0.0,1.0,0.6666666666666666
123,0.5,0.3333333333333333,0.0,1.0,0.0,1.0,0.33333333333333337
124,0.0,0.0,0.0,1.0,0.0,0.0,0.33333333333333337
125,0.0,0.3333333333333333,1.0,1.0,0.0,1.0,0.9999999999999999
126,0.5,0.0,0.0,0.0,0.0,1.0,0.33333333333333337
127,1.0,0.6666666666666667,1.0,0.5,1.0,0.0,0.9999999999999999
128,1.0,0.6666666666666667,1.0,0.0,0.5,0.5,0.33333333333333337
129,0.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.6666666666666666
130,0.5,0.0,0.0,1.0,0.0,0.0,0.33333333333333337
131,0.5,0.6666666666666667,1.0,0.5,0.0,1.0,0.6666666666666666
132,1.0,0.6666666666666667,0.0,0.5,1.0,0.0,0.33333333333333337
133,1.0,1.0,1.0,0.5,1.0,1.0,0.9999999999999999
134,0.0,0.3333333333333333,0.0,0.5,1.0,0.5,0.6666666666666666
135,0.5,0.6666666666666667,1.0,1.0,0.5,0.5,0.6666666666666666
136,0.5,0.3333333333333333,0.0,0.0,0.5,1.0,0.9999999999999999
137,0.5,0.6666666666666667,0.0,0.5,0.5,1.0,0.6666666666666666
138,0.0,0.0,0.0,1.0,0.5,0.5,0.33333333333333337
139,0.0,0.0,0.0,0.0,1.0,0.5,0.33333333333333337
140,0.5,1.0,1.0,0.5,1.0,1.0,0.9999999999999999
141,0.5,0.3333333333333333,0.0,1.0,0.0,0.5,0.33333333333333337
142,1.0,0.0,1.0,1.0,0.0,0.5,0.33333333333333337
143,1.0,0.6666666666666667,0.0,0.5,1.0,1.0,0.9999999999999999
144,0.0,0.0,0.0,0.0,0.5,0.0,0.33333333333333337
145,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.9999999999999999
146,0.5,0.6666666666666667,1.0,1.0,0.5,0.5,0.6666666666666666
147,0.5,0.0,0.0,1.0,1.0,0.0,0.33333333333333337
148,1.0,0.0,0.0,1.0,1.0,0.5,0.6666666666666666
149,0.5,0.0,0.0,1.0,0.0,0.0,0.6666666666666666
150,0.5,0.3333333333333333,0.0,1.0,0.0,0.5,0.6666666666666666
