,SOUTH,SEX,EXPERIENCE,UNION,AGE,5_Hispanic,5_Other,5_White,6_Clerical,6_Management,6_Other,6_Professional,6_Sales,6_Service,7_Construction,7_Manufacturing,7_Other,MARR,WAGE
0,0.0,0.0,0.3818181818181818,1.0,0.3695652173913043,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.1
1,0.0,0.0,0.7636363636363636,1.0,0.8478260869565217,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.95
2,0.0,1.0,0.01818181818181818,1.0,0.02173913043478265,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.67
3,0.0,1.0,0.07272727272727272,1.0,0.08695652173913049,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
4,0.0,1.0,0.3090909090909091,1.0,0.3695652173913043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.5
5,0.0,1.0,0.16363636363636364,0.0,0.21739130434782616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.07
6,1.0,1.0,0.4909090909090909,1.0,0.5434782608695652,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.45
7,0.0,1.0,0.16363636363636364,1.0,0.19565217391304346,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.47
8,0.0,1.0,0.19999999999999998,1.0,0.32608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.28
9,0.0,1.0,0.16363636363636364,1.0,0.19565217391304346,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.75
10,0.0,1.0,0.3090909090909091,0.0,0.3695652173913043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.35
11,0.0,1.0,0.34545454545454546,0.0,0.4130434782608696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.5
12,1.0,1.0,0.4909090909090909,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.5
13,1.0,1.0,0.5454545454545454,0.0,0.5869565217391305,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.25
14,1.0,1.0,0.5272727272727272,1.0,0.5652173913043479,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.98
15,0.0,1.0,0.6727272727272727,1.0,0.8043478260869565,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.3
16,1.0,1.0,0.7999999999999999,1.0,0.8478260869565217,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
17,0.0,1.0,0.4727272727272727,0.0,0.5652173913043479,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.2
18,0.0,1.0,0.2909090909090909,1.0,0.32608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.65
19,0.0,1.0,0.6,1.0,0.7173913043478262,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.55
20,0.0,0.0,0.2909090909090909,0.0,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.71
21,0.0,1.0,0.7636363636363636,0.0,0.8043478260869565,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0
22,0.0,1.0,0.16363636363636364,1.0,0.19565217391304346,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.75
23,1.0,1.0,0.2545454545454545,1.0,0.28260869565217395,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.5
24,0.0,1.0,0.41818181818181815,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.56
25,1.0,1.0,0.8181818181818181,1.0,0.8478260869565217,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.75
26,0.0,1.0,0.14545454545454545,1.0,0.17391304347826086,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.36
27,0.0,1.0,0.5454545454545454,1.0,0.6086956521739131,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.5
28,0.0,0.0,0.14545454545454545,1.0,0.17391304347826086,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.35
29,0.0,1.0,0.14545454545454545,1.0,0.17391304347826086,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.75
30,0.0,1.0,0.23636363636363636,1.0,0.32608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.9
31,1.0,0.0,0.8363636363636363,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
32,0.0,1.0,0.34545454545454546,1.0,0.32608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.7
33,1.0,0.0,0.01818181818181818,1.0,0.13043478260869568,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
34,0.0,1.0,0.34545454545454546,1.0,0.4130434782608696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.25
35,0.0,1.0,0.6545454545454545,1.0,0.7826086956521738,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.67
36,1.0,1.0,0.36363636363636365,1.0,0.4347826086956522,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.61
37,0.0,1.0,0.6363636363636364,0.0,0.7608695652173914,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
38,0.0,1.0,0.05454545454545454,1.0,0.06521739130434784,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.5
39,1.0,1.0,0.18181818181818182,1.0,0.26086956521739135,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.2
40,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.35
41,1.0,1.0,0.2545454545454545,0.0,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
42,0.0,1.0,0.2545454545454545,1.0,0.30434782608695654,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0
43,0.0,0.0,0.2909090909090909,1.0,0.28260869565217395,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.85
44,1.0,1.0,0.14545454545454545,1.0,0.19565217391304346,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.3
45,1.0,0.0,0.2727272727272727,1.0,0.21739130434782616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
46,0.0,1.0,0.21818181818181817,1.0,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
47,1.0,1.0,0.23636363636363636,1.0,0.23913043478260876,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.85
48,0.0,1.0,0.6,0.0,0.6304347826086956,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
49,0.0,1.0,0.16363636363636364,1.0,0.19565217391304346,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.36
50,0.0,1.0,0.12727272727272726,1.0,0.15217391304347827,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.15
51,0.0,1.0,0.23636363636363636,0.0,0.3695652173913043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
52,0.0,0.0,0.12727272727272726,1.0,0.15217391304347827,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5
53,0.0,0.0,0.2909090909090909,1.0,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8
54,0.0,1.0,0.0,1.0,0.02173913043478265,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
55,0.0,0.0,0.19999999999999998,1.0,0.23913043478260876,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.5
56,0.0,1.0,0.3090909090909091,1.0,0.3913043478260869,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.4
57,0.0,1.0,0.23636363636363636,1.0,0.23913043478260876,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.75
58,0.0,1.0,0.39999999999999997,0.0,0.4782608695652174,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
59,0.0,0.0,0.509090909090909,1.0,0.6086956521739131,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
60,0.0,1.0,0.3090909090909091,1.0,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.5
61,0.0,1.0,0.43636363636363634,0.0,0.5217391304347826,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.75
62,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0
63,1.0,1.0,0.05454545454545454,1.0,0.06521739130434784,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.43
64,0.0,1.0,0.10909090909090909,0.0,0.13043478260869568,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0
65,0.0,1.0,0.4909090909090909,1.0,0.5434782608695652,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0
66,1.0,1.0,0.34545454545454546,0.0,0.4130434782608696,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0
67,0.0,1.0,0.34545454545454546,0.0,0.4130434782608696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.22
68,0.0,0.0,0.6909090909090909,1.0,0.8260869565217392,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.28
69,1.0,1.0,0.7454545454545454,0.0,0.8478260869565217,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.75
70,1.0,1.0,0.05454545454545454,1.0,0.043478260869565244,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.35
71,0.0,1.0,0.36363636363636365,0.0,0.4782608695652174,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
72,0.0,1.0,0.2727272727272727,1.0,0.28260869565217395,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.25
73,1.0,1.0,0.14545454545454545,1.0,0.08695652173913049,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5
74,1.0,0.0,0.7090909090909091,1.0,0.7608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.22
75,0.0,0.0,0.7818181818181817,0.0,0.8043478260869565,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
76,1.0,0.0,0.45454545454545453,0.0,0.5217391304347826,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
77,0.0,1.0,0.19999999999999998,0.0,0.23913043478260876,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
78,0.0,1.0,0.21818181818181817,1.0,0.26086956521739135,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
79,1.0,1.0,0.6363636363636364,0.0,0.7608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0
80,0.0,1.0,0.2545454545454545,1.0,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.98
81,0.0,1.0,0.2909090909090909,0.0,0.34782608695652173,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.26
82,0.0,0.0,0.7999999999999999,0.0,0.9130434782608696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.1
83,1.0,0.0,0.23636363636363636,1.0,0.3695652173913043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.75
84,0.0,1.0,0.14545454545454545,0.0,0.19565217391304346,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0
85,0.0,1.0,0.23636363636363636,1.0,0.28260869565217395,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.45
86,0.0,1.0,0.32727272727272727,0.0,0.3695652173913043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.5
87,0.0,0.0,0.32727272727272727,1.0,0.3913043478260869,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.93
88,1.0,0.0,0.10909090909090909,1.0,0.13043478260869568,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.25
89,1.0,1.0,0.6727272727272727,0.0,0.7826086956521738,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.75
90,1.0,1.0,0.03636363636363636,1.0,0.043478260869565244,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.73
91,0.0,1.0,0.41818181818181815,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.78
92,0.0,1.0,0.01818181818181818,1.0,0.02173913043478265,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.85
93,1.0,0.0,0.18181818181818182,1.0,0.21739130434782616,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.35
94,0.0,1.0,0.41818181818181815,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.98
95,0.0,1.0,0.14545454545454545,0.0,0.17391304347826086,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.5
96,0.0,0.0,0.16363636363636364,1.0,0.26086956521739135,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.75
97,0.0,1.0,0.6,0.0,0.7173913043478262,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
98,0.0,0.0,0.34545454545454546,1.0,0.4130434782608696,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
99,0.0,1.0,0.2545454545454545,1.0,0.32608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.25
100,0.0,1.0,0.23636363636363636,0.0,0.26086956521739135,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0
101,0.0,1.0,0.21818181818181817,1.0,0.21739130434782616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
102,0.0,1.0,0.14545454545454545,1.0,0.17391304347826086,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.5
103,0.0,1.0,0.41818181818181815,1.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.83
104,0.0,0.0,0.23636363636363636,1.0,0.32608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.5
105,1.0,1.0,0.16363636363636364,1.0,0.19565217391304346,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.5
106,0.0,1.0,0.3818181818181818,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0
107,1.0,1.0,0.7999999999999999,1.0,0.8043478260869565,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0
108,0.0,1.0,0.07272727272727272,0.0,0.08695652173913049,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.5
109,0.0,1.0,0.7636363636363636,1.0,0.8260869565217392,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
110,0.0,1.0,0.18181818181818182,0.0,0.23913043478260876,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.47
111,0.0,1.0,0.19999999999999998,1.0,0.23913043478260876,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.5
112,0.0,1.0,0.7272727272727273,0.0,0.8695652173913044,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
113,0.0,1.0,0.14545454545454545,1.0,0.17391304347826086,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0
114,1.0,1.0,0.5272727272727272,1.0,0.6086956521739131,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.5
115,0.0,1.0,0.05454545454545454,0.0,0.15217391304347827,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
116,0.0,1.0,0.19999999999999998,1.0,0.21739130434782616,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.75
117,0.0,1.0,0.21818181818181817,0.0,0.26086956521739135,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.57
118,0.0,0.0,0.39999999999999997,1.0,0.3913043478260869,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.88
119,0.0,1.0,0.21818181818181817,1.0,0.26086956521739135,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.5
120,0.0,1.0,0.12727272727272726,0.0,0.15217391304347827,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
121,0.0,0.0,0.2727272727272727,1.0,0.32608695652173914,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.5
122,0.0,1.0,0.509090909090909,1.0,0.6086956521739131,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.5
123,1.0,1.0,0.36363636363636365,0.0,0.4347826086956522,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0
124,1.0,1.0,0.10909090909090909,1.0,0.13043478260869568,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0
