,oz1,oz2,oz3,oz4,oz5,oz6,oz7,oz8,oz9,oz10,oz11,oz12,oz13,oz14,oz15,oz16,oz17,oz18,oz19,oz20,oz21,oz22,oz23,oz24,oz25,oz26,oz27,oz28,oz29,oz30,oz31,oz32,oz33,oz34,oz35,oz36,oz37,oz38,oz39,oz40,oz41,oz42,oz43,oz44,oz45,oz46,oz47,oz48,oz49,oz50,oz51,oz52,oz53,oz54,oz55,oz56,oz57,oz58,oz59,oz60,oz61,oz62,oz63,oz64,oz65,oz66,oz67,oz68,oz69,oz70,oz71,oz72,oz73,oz74,oz75,oz76,oz77,oz78,oz79,oz80,oz81,oz82,oz83,oz84,oz85,oz86,oz87,oz88,oz89,oz90,oz91,oz92,oz93,oz94,oz95,oz96,oz97,oz98,oz99,oz100,oz101,oz102,oz103,oz104,oz105,oz106,oz107,oz108,oz109,oz110,oz111,oz112
0,0.018687,0.057142,0.013845,0.048132999999999995,0.0,0.024076,0.507714,0.340379,0.914273,0.032256,0.0,0.033331,0.026272000000000004,0.020234000000000002,0.99254,0.005864,0.008483,0.004899000000000001,0.008629000000000001,0.044905,0.0,0.006719,0.062776,0.021783,0.01794,0.008617,0.002587,0.204211,0.011906,0.0036299999999999995,0.02102,0.003664,0.001115,0.073273,0.024666,2.9999999999999997e-05,0.0044340000000000004,0.0044340000000000004,0.0044340000000000004,0.0044340000000000004,0.0044340000000000004,0.882135,0.96315,0.96315,0.96315,0.96315,0.96315,0.27336,0.0,0.0,0.023585,0.0,0.045241,0.086957,0.168282,0.110128,0.425436,0.0,0.042252,0.151908,0.20238399999999998,0.500741,0.018755,0.023368,0.08107,0.096939,0.019584,0.018993,0.007354,0.015621000000000001,0.0,0.0,0.26818800000000004,0.0,0.08365399999999999,0.0,0.030304,0.0,0.0,0.036152,0.032472,0.023157,0.015837999999999998,0.01051,0.032236,0.516487,0.941174,0.9090739999999999,1.0,1.0,0.975001,0.027351,0.017776,0.004542,0.0,0.0,0.022081,0.252249,0.434208,0.43333699999999997,0.42222600000000005,0.399997,0.45454300000000003,0.036152,0.032472,0.023157,0.015837999999999998,0.01051,0.032236,0.032471,0.042185,0.014572
1,0.046725,0.07619,0.041519,0.067745,0.02222,0.038172000000000005,0.28705,0.201905,0.871431,0.064512,0.055549,0.066677,0.051236000000000004,0.037673000000000005,0.88059,0.011549,0.013553999999999998,0.009092,0.011711,0.081631,0.488654,0.013661000000000001,0.096639,0.04688,0.038786,0.019886,0.005746,0.219338,0.011906,0.00716,0.0456,0.006723000000000001,0.001963,0.374314,0.062377999999999996,5.6999999999999996e-05,0.012515,0.012515,0.012515,0.012515,0.012515,0.9447469999999999,0.9799040000000001,0.9799040000000001,0.9799040000000001,0.9799040000000001,0.9799040000000001,0.245678,0.12293,0.047188,0.072322,0.12193499999999999,0.107268,0.138094,0.229399,0.204171,0.539469,0.23437399999999997,0.267606,0.227836,0.190486,0.500741,0.027197000000000002,0.035044,0.09026100000000001,0.110884,0.037311000000000004,0.031639999999999995,0.017922999999999998,0.046876999999999995,0.199998,0.702006,0.254542,0.0,0.095929,0.0,0.034843,0.0,0.0,0.080573,0.059163,0.05777,0.04545,0.035224,0.044056,0.703295,0.8970600000000001,0.8636229999999999,0.886792,0.893617,0.8500059999999999,0.08365299999999999,0.055913,0.053047000000000004,0.042485,0.035118,0.041783999999999995,0.549545,0.539471,0.550004,0.5111180000000001,0.457135,0.45454300000000003,0.080573,0.059163,0.05777,0.04545,0.035224,0.044056,0.059145,0.05782,0.033213
2,0.046725,0.07619,0.038054000000000004,0.065964,0.02222,0.038172000000000005,0.28705,0.201905,0.871431,0.064512,0.055549,0.055555999999999994,0.052791,0.041139999999999996,0.9626979999999999,0.012362,0.014255,0.009835,0.012234,0.085388,0.509512,0.014558000000000001,0.11673399999999999,0.045587,0.037633,0.020577,0.006013,0.290649,0.011906,0.008169,0.044125,0.006648,0.001923,0.376796,0.067753,5.6999999999999996e-05,0.013412,0.013412,0.013412,0.013412,0.013412,0.88859,0.923646,0.923646,0.923646,0.923646,0.923646,0.26124899999999995,0.279071,0.059441999999999995,0.070219,0.171257,0.107268,0.138094,0.304948,0.204171,0.535083,0.26562600000000003,0.028176,0.088604,0.273811,1.0,0.035641,0.04439,0.135955,0.176621,0.039958,0.037974,0.016544,0.07031,0.199998,0.702006,0.420206,0.0,0.09796,0.0,0.035492,0.0,0.0,0.080573,0.058054999999999995,0.064722,0.037149,0.025872000000000003,0.049882,0.703295,0.8823479999999999,0.954525,0.943408,0.87234,0.8500059999999999,0.08365299999999999,0.05537,0.05898099999999999,0.029958,0.024319999999999998,0.048451999999999995,0.549545,0.539471,0.599996,0.488893,0.428569,0.5,0.080573,0.058054999999999995,0.064722,0.037149,0.025872000000000003,0.049882,0.058053999999999994,0.06562,0.031968
3,0.065429,0.085722,0.058814,0.078434,0.02222,0.062248000000000005,0.28705,0.186529,0.804747,0.096774,0.055549,0.088894,0.078967,0.060940999999999995,0.865669,0.019218,0.020281999999999998,0.015066999999999999,0.016063,0.123277,0.558789,0.023068,0.155288,0.06890399999999999,0.058216,0.036478,0.010287000000000001,0.361962,0.011906,0.012806999999999999,0.0671,0.010198,0.003005,0.748366,0.113293,8.8e-05,0.0243,0.0243,0.0243,0.0243,0.0243,0.9392379999999999,0.8981809999999999,0.8981809999999999,0.8981809999999999,0.8981809999999999,0.8981809999999999,0.328723,0.255825,0.093068,0.122421,0.212075,0.17002899999999999,0.261941,0.388052,0.393115,0.785087,0.031251999999999995,0.366198,0.379749,0.297626,1.0,0.04596,0.058408,0.150305,0.11486800000000001,0.059576,0.050633,0.03125,0.109373,0.29999699999999996,1.0,0.373237,0.0,0.10990899999999999,0.0,0.039952999999999995,0.0,0.0,0.116673,0.094102,0.07030399999999999,0.065413,0.054839,0.063872,0.714292,1.0,0.772722,0.8490719999999999,0.8510639999999999,0.8500059999999999,0.126886,0.107351,0.074222,0.073297,0.064699,0.06990199999999999,0.630616,0.789474,0.566678,0.555556,0.514278,0.545447,0.116673,0.094102,0.07030399999999999,0.065413,0.054839,0.063872,0.094081,0.09765499999999999,0.049627
4,0.065429,0.085722,0.055365,0.076653,0.02222,0.062248000000000005,0.28705,0.186529,0.804747,0.096774,0.055549,0.077782,0.08158,0.067304,0.99254,0.020843,0.021685,0.016552,0.017108,0.12958,0.573752,0.02486,0.188602,0.066955,0.056333,0.037859,0.010777,0.46784799999999993,0.011906,0.015025,0.06481,0.010047,0.00292,0.752361,0.12353499999999999,8.9e-05,0.026095999999999998,0.026095999999999998,0.026095999999999998,0.026095999999999998,0.026095999999999998,0.854509,0.819823,0.819823,0.819823,0.819823,0.819823,0.321802,0.46179499999999996,0.109135,0.12110399999999999,0.228514,0.17002899999999999,0.261941,0.47253100000000003,0.393115,0.780698,0.07813099999999999,0.169009,0.126581,0.285709,0.625179,0.060969,0.074764,0.22369299999999998,0.262279,0.08331000000000001,0.063291,0.027574,0.124998,0.29999699999999996,1.0,0.488893,0.0,0.11376700000000001,0.0,0.041186,0.0,0.0,0.116673,0.092998,0.07582,0.064016,0.04021,0.060570000000000006,0.714292,0.9852879999999999,0.8484879999999999,0.9811280000000001,0.87234,0.8000079999999999,0.126886,0.106801,0.078859,0.068548,0.045073,0.064976,0.630616,0.789474,0.616665,0.622229,0.485706,0.5,0.116673,0.092998,0.07582,0.064016,0.04021,0.060570000000000006,0.092986,0.11015499999999999,0.047605
5,0.074769,0.095237,0.062283000000000005,0.08377899999999999,0.044439,0.052235000000000004,0.12500899999999998,0.092301,0.8333229999999999,0.096774,0.11110999999999999,0.077782,0.080336,0.064122,0.9402950000000001,0.020031,0.020856,0.015661,0.016288,0.12543800000000002,0.779906,0.023964,0.171807,0.06966,0.05809500000000001,0.034681000000000003,0.00965,0.363581,0.011906,0.014118,0.06758600000000001,0.009970999999999999,0.002826,0.685773,0.117435,8.8e-05,0.024188,0.024188,0.024188,0.024188,0.024188,0.8922690000000001,0.8955069999999999,0.8955069999999999,0.8955069999999999,0.8955069999999999,0.8955069999999999,0.247408,0.32226,0.117959,0.121625,0.129873,0.17002899999999999,0.189434,0.47253100000000003,0.30082,0.6271800000000001,0.46875,0.014075999999999998,0.037977,0.333336,0.625179,0.056278999999999996,0.07009,0.202797,0.262279,0.066979,0.063291,0.023897,0.093747,0.500005,0.814736,0.468186,0.0,0.112268,0.0,0.040678,0.0,0.0,0.12499600000000001,0.083639,0.10630899999999999,0.058376,0.041318,0.068014,0.868144,0.823522,1.0,0.9056639999999999,0.787234,0.7750100000000001,0.140015,0.093049,0.113331,0.0599,0.048656,0.075146,0.7927930000000001,0.631579,0.7333310000000001,0.555556,0.457135,0.5,0.12499600000000001,0.083639,0.10630899999999999,0.058376,0.041318,0.068014,0.083621,0.09062100000000001,0.049995
6,0.074769,0.095237,0.062283000000000005,0.08377899999999999,0.044439,0.052235000000000004,0.12500899999999998,0.092301,0.8333229999999999,0.096774,0.11110999999999999,0.077782,0.080052,0.063326,0.925374,0.01985,0.020729,0.015512,0.016212,0.12459100000000001,0.7753979999999999,0.02374,0.167677,0.069744,0.058216,0.034666,0.009645,0.36141999999999996,0.011906,0.013765000000000001,0.067703,0.009934,0.002806,0.687036,0.11719700000000001,8.8e-05,0.023962999999999998,0.023962999999999998,0.023962999999999998,0.023962999999999998,0.023962999999999998,0.8996280000000001,0.9028809999999999,0.9028809999999999,0.9028809999999999,0.9028809999999999,0.9028809999999999,0.247408,0.348839,0.11740199999999999,0.12153199999999999,0.146316,0.17002899999999999,0.189434,0.47253100000000003,0.30082,0.6271800000000001,0.46875,0.0,0.025325999999999998,0.32143,1.0,0.049712,0.063082,0.171328,0.188573,0.062543,0.056963,0.028493,0.093747,0.500005,0.814736,0.436367,0.0,0.112268,0.0,0.040678,0.0,0.0,0.12499600000000001,0.083639,0.10630899999999999,0.058376,0.041553,0.065252,0.868144,0.823522,1.0,0.9056639999999999,0.787234,0.750011,0.140015,0.093049,0.113331,0.0599,0.048805,0.072921,0.7927930000000001,0.631579,0.7333310000000001,0.555556,0.457135,0.5,0.12499600000000001,0.083639,0.10630899999999999,0.058376,0.041553,0.065252,0.083621,0.089837,0.050105000000000004
7,0.074769,0.095237,0.065743,0.08556699999999999,0.044439,0.052235000000000004,0.12500899999999998,0.092301,0.8333229999999999,0.096774,0.11110999999999999,0.088894,0.078378,0.059351999999999995,0.8432879999999999,0.018858,0.0199,0.014622,0.015615,0.1208,0.756343,0.022619999999999998,0.146752,0.07118200000000001,0.059535000000000005,0.033795,0.009337,0.30145500000000003,0.011906,0.012454,0.06936200000000001,0.010047,0.002865,0.6833060000000001,0.110167,8.8e-05,0.022841,0.022841,0.022841,0.022841,0.022841,0.9539559999999999,0.9557959999999999,0.9557959999999999,0.9557959999999999,0.9557959999999999,0.9557959999999999,0.238758,0.401995,0.103842,0.123645,0.16275499999999998,0.17002899999999999,0.189434,0.388052,0.30082,0.635959,0.453125,0.225361,0.151908,0.309526,1.0,0.044084,0.056073000000000005,0.13985699999999998,0.15138800000000002,0.05807999999999999,0.050633,0.029412,0.093747,0.500005,0.814736,0.40051,0.0,0.11023800000000002,0.0,0.04003,0.0,0.0,0.12499600000000001,0.084746,0.09929199999999999,0.06718500000000001,0.047463,0.068014,0.868144,0.838234,0.9090739999999999,0.867944,0.765957,0.7750100000000001,0.140015,0.0936,0.10749700000000001,0.072688,0.056679999999999994,0.07800599999999999,0.7927930000000001,0.644732,0.683343,0.555556,0.457135,0.545447,0.12499600000000001,0.084746,0.09929199999999999,0.06718500000000001,0.047463,0.068014,0.084712,0.08164600000000001,0.051525
8,0.074769,0.095237,0.069202,0.08735,0.044439,0.052235000000000004,0.12500899999999998,0.092301,0.8333229999999999,0.096774,0.11110999999999999,0.100005,0.07703099999999999,0.056171000000000006,0.783583,0.018045,0.019197,0.013880000000000002,0.015092,0.11745799999999999,0.7422890000000001,0.021724,0.130235,0.072473,0.06068,0.033020999999999995,0.009061,0.247969,0.011906,0.011446,0.070838,0.010198,0.00295,0.679341,0.103923,8.8e-05,0.021943,0.021943,0.021943,0.021943,0.021943,1.0,1.0,1.0,1.0,1.0,1.0,0.192045,0.192685,0.091583,0.125942,0.096995,0.17002899999999999,0.189434,0.314564,0.30082,0.640349,0.43750100000000003,0.45070600000000005,0.278481,0.22619899999999998,0.500741,0.035641,0.046727,0.097822,0.11486800000000001,0.05807999999999999,0.050633,0.025736000000000002,0.062497000000000004,0.500005,0.814736,0.236373,0.0,0.108206,0.0,0.039381,0.0,0.0,0.12499600000000001,0.085853,0.09233999999999999,0.075425,0.057359,0.061350999999999996,0.868144,0.8529450000000001,0.818171,0.8302,0.808511,0.750011,0.140015,0.09415,0.101556,0.085107,0.067879,0.07022,0.7927930000000001,0.644732,0.633335,0.555556,0.485706,0.5,0.12499600000000001,0.085853,0.09233999999999999,0.075425,0.057359,0.061350999999999996,0.08580299999999999,0.07422000000000001,0.052782
9,0.074769,0.095237,0.069202,0.08735,0.044439,0.052235000000000004,0.12500899999999998,0.092301,0.8333229999999999,0.096774,0.11110999999999999,0.100005,0.077696,0.057763999999999996,0.8208979999999999,0.018496000000000002,0.019644,0.014325,0.015465999999999999,0.11955299999999999,0.740622,0.022172,0.138493,0.072047,0.060242,0.033214,0.00913,0.267418,0.011906,0.012,0.070333,0.010123,0.002911,0.681573,0.107769,8.7e-05,0.022392,0.022392,0.022392,0.022392,0.022392,0.9760530000000001,0.976561,0.976561,0.976561,0.976561,0.976561,0.23356799999999997,0.192685,0.089447,0.12575799999999998,0.146316,0.17002899999999999,0.189434,0.314564,0.30082,0.640349,0.453125,0.46479,0.16455799999999998,0.22619899999999998,1.0,0.044084,0.056073000000000005,0.13985699999999998,0.15138800000000002,0.05807999999999999,0.050633,0.027574,0.078122,0.500005,0.814736,0.40051,0.0,0.11023800000000002,0.0,0.04003,0.0,0.0,0.12499600000000001,0.085853,0.090897,0.083537,0.046842,0.059137999999999996,0.868144,0.8529450000000001,0.803013,0.924536,0.765957,0.725012,0.140015,0.09415,0.099827,0.098622,0.055713,0.065454,0.7927930000000001,0.644732,0.616665,0.666667,0.457135,0.45454300000000003,0.12499600000000001,0.085853,0.090897,0.083537,0.046842,0.059137999999999996,0.08580299999999999,0.07772899999999999,0.052277
