,NOx,C,E
0,0.9215418261344998,0.4285714285714286,0.907
1,0.5262438490978676,0.4285714285714286,0.7609999999999999
2,0.30836522689994533,0.4285714285714286,1.1079999999999999
3,0.6864406779661016,0.4285714285714286,1.016
4,0.10661563696008748,0.4285714285714286,1.189
5,0.7517769272826681,0.1428571428571429,1.001
6,0.07326407873154729,0.1428571428571429,1.2309999999999999
7,0.21869874248223065,0.1428571428571429,1.123
8,0.5434663750683434,0.4285714285714286,1.042
9,0.06451612903225805,0.4285714285714286,1.215
10,0.9018589393110988,0.4285714285714286,0.93
11,0.17222525970475666,0.4285714285714286,1.1520000000000001
12,0.1670311645708037,0.7142857142857142,1.138
13,0.224712957900492,1.0,0.601
14,0.15199562602515032,0.0,0.696
15,0.3335155822854018,0.4285714285714286,0.6859999999999999
16,0.3925642427556041,0.4285714285714286,1.072
17,0.4352104975396391,0.7142857142857142,1.074
18,1.0,0.7142857142857142,0.934
19,0.7594313832695462,0.1428571428571429,0.8079999999999999
20,0.4007654455986877,0.1428571428571429,1.071
21,0.6765992345544013,0.0,1.0090000000000001
22,0.1757791142700929,0.0,1.1420000000000001
23,0.012028430836522691,1.0,1.229
24,0.12083105522143249,1.0,1.175
25,0.0010934937124111588,0.7142857142857142,0.568
26,0.8892837616183706,0.7142857142857142,0.977
27,0.4097867687260797,0.0,0.767
28,0.6741388737014762,0.0,1.006
29,0.8739748496446144,0.1428571428571429,0.893
30,0.13559322033898302,0.7142857142857142,1.1520000000000001
31,0.27310005467468557,0.7142857142857142,0.693
32,0.04702022963367962,0.7142857142857142,1.232
33,0.6476216511755056,0.7142857142857142,1.036
34,0.22689994532531432,0.7142857142857142,1.125
35,0.3687807545106615,0.1428571428571429,1.081
36,0.834609075997813,0.1428571428571429,0.868
37,0.3455440131219245,0.0,0.762
38,0.17796610169491517,0.0,1.1440000000000001
39,0.4885183160196828,0.0,1.045
40,0.8176599234554401,1.0,0.797
41,0.2788408966648441,1.0,1.115
42,0.4311098961180972,1.0,1.07
43,0.16183706943685072,1.0,1.219
44,0.05494805904866047,0.1428571428571429,0.637
45,0.5054674685620557,0.1428571428571429,0.733
46,0.286768726079825,0.1428571428571429,0.715
47,0.8608529250956806,0.1428571428571429,0.872
48,0.37233460907599775,0.0,0.765
49,0.7752870420995079,0.0,0.878
50,0.5743575724439585,0.0,0.8109999999999999
51,0.3846364133406232,0.7142857142857142,0.6759999999999999
52,0.6016949152542372,1.0,1.045
53,0.979223619464188,1.0,0.968
54,0.9734827774740294,0.7142857142857142,0.846
55,0.3326954620010934,0.7142857142857142,0.684
56,0.2807545106615636,0.0,0.7290000000000001
57,0.865500273373428,0.0,0.9109999999999999
58,0.5008201202843083,0.0,0.8079999999999999
59,0.1055221432476763,0.0,1.168
60,0.34171678512848547,0.0,0.7490000000000001
61,0.8983050847457626,0.0,0.892
62,0.709130672498633,0.0,1.002
63,0.9267359212684526,1.0,0.812
64,0.0825587752870421,1.0,1.23
65,0.9040459267359212,1.0,0.804
66,0.860306178239475,0.4285714285714286,0.813
67,0.7982504100601421,0.4285714285714286,1.002
68,0.21022416621104423,0.1428571428571429,0.696
69,0.09759431383269544,0.1428571428571429,1.199
70,0.6044286495352652,0.1428571428571429,1.03
71,0.15117550574084193,0.7142857142857142,0.602
72,0.3162930563149261,0.7142857142857142,0.6940000000000001
73,0.8250410060142153,0.7142857142857142,0.816
74,0.468835429196282,0.7142857142857142,1.037
75,0.16293056314926185,0.7142857142857142,1.181
76,0.8523783488244941,0.0,0.899
77,0.10497539639147073,0.0,1.227
78,0.11673045379989065,0.1428571428571429,1.18
79,0.46309458720612345,0.0,0.795
80,0.9190814652815745,1.0,0.99
81,0.05904866047020228,1.0,1.2009999999999998
82,0.05221432476763259,0.0,0.629
83,0.052761071623838154,0.1428571428571429,0.608
84,0.0841990158556588,0.4285714285714286,0.584
85,0.0,0.7142857142857142,0.562
86,0.04373974849644614,1.0,0.535
87,0.41826134499726614,1.0,0.655
