dataset,m_c1,m_c2,m_c3,m_c4,m_l1,m_l2,m_l3,m_s1,m_s2,m_s3,m_s4,m_t2
colleges_usnews,0.62687134635966,0.10529840284657477,0.2749169435215947,0.09883720930232558,0.0909427625540339,0.014398002788859813,11510749643950.055,0.1319353132320713,1.5914305801726771,0.14410299003322258,0.1886676870379505,18.242424242424242
poly_1_2_0.2,0.5773954615818462,0.5484203376813506,0.346,0.512,0.16460281412692002,0.04283769349760061,0.1464029611107974,0.2359834380961924,0.4339776028108108,0.28846214972,0.37271706237176433,250.0
boston_corrected,0.8574474622847901,0.5057138953673364,0.2134387351778656,0.04940711462450593,0.07579454378356107,0.010638351800237788,0.07912407189990406,0.08465674382007736,0.996160749341851,0.09782226962978474,0.19689664310696908,31.625
dataset_2176_mbagrade,0.3524370228984053,0.3406711996035987,0.47540983606557374,0.4918032786885246,0.1535601406416523,0.04137718221989453,0.18455510764441738,0.24416909620991253,0.4125241106960728,0.27033647182526405,0.3259473377610841,30.5
HappinessRank_2015,0.5324872196831733,0.1324073657122522,0.36075949367088606,0.22151898734177214,7.213967152721893e-05,7.048806385625049e-09,0.09848354602066922,0.11614150293379347,0.7428072093635438,0.14243292364245266,0.21176954100486453,19.75
humandevel,0.8715470296230737,0.8715470296230737,0.038461538461538464,0.5,0.12021002781280403,0.02280091876961089,0.11075848897145177,0.1413977525389099,0.169921875,0.1531902206320811,0.10022326844093785,130.0
poly_3_10_0.1,0.34892837171348684,0.2823459901839607,0.444,0.668,0.24275836039795862,0.09205153946280381,0.4984306352213019,0.8097469218436875,1.2224147396148468,1.1397400470000003,1.6258964575866917,50.0
arsenic-male-bladder,0.22948604333817263,0.09326806018663295,0.5688729874776386,0.008944543828264758,0.021710412437666696,0.005277677689991664,0.02458188448347445,0.005955334987593051,0.3111495589669151,0.005862116416678135,0.014810846429098528,139.75
poly_3_5_0.2,0.4535866463465853,0.4219566894267577,0.42,0.736,0.2500904185045823,0.0993612590280168,0.40416740076255864,0.44944471382765533,0.7982480346945332,0.8670420594,1.4466698846031252,100.0
sin_1_5_0.0,0.3828432913731655,0.19012787731150924,0.498,0.84,1.0366780813520546,1.6429554452969712,1.0000417551838992,0.795750947650501,0.8302172109564336,1.2119563912908,1.656701681664276,100.0
poly_1_5_0.2,0.36464392257569034,0.3378726218904876,0.454,0.344,0.16436300600811649,0.04414871772611831,0.1668357727896916,0.25556135691382764,0.8241602273340839,0.3258412968,0.3905603645213249,100.0
rabe_176,0.4893535123786195,0.459551511970373,0.38571428571428573,0.4857142857142857,0.13743674060475544,0.029707416902776763,0.14403934830834836,0.18410098164211777,0.4041922659901264,0.20746363044309302,0.2482151955030429,23.333333333333332
analcatdata_gviolence,0.9585690895700928,0.5220983483676995,0.0,0.06756756756756757,0.04666961648890129,0.005328771505249824,0.04129105173568129,0.0593607305936073,0.516614761365624,0.13063063063063063,0.24267913450914408,10.571428571428571
sin_3_10_0.2,0.12668517874071494,0.05342148728594913,0.544,0.868,1.7180552028234437,4.4887096641225925,1.7040295702667467,2.42063651636473,1.2777404196456514,2.45569372763,2.3523420102161325,50.0
MercuryinBass,0.20520940530156687,0.10656475940143458,0.6037735849056604,0.9056603773584906,0.24235281104522652,0.1051790468978775,0.27848221936224615,0.2692307692307692,0.9618273625942989,0.3018867924528302,0.3115765244911478,5.888888888888889
poly_5_5_0.0,0.4202788331153324,0.38465554822219283,0.42,0.75,0.45952708954458854,0.3256392169104622,0.6167141798894281,0.636627646492986,0.8023545082620636,1.3239604556,1.8459179269887518,100.0
poly_5_1_0.2,0.8942802491209965,0.8942802491209965,0.006,0.758,0.2246831443254598,0.07495312650761496,0.20083287940325537,0.21123583595190382,0.12460129648619343,0.45835619192,0.6455779558309068,500.0
poly_5_2_0.2,0.5926976010151466,0.5841305916347377,0.288,0.63,0.20163817262329894,0.06556414140499321,0.19316100986958173,0.22523116953907818,0.40827014440194076,0.3843344344,0.48719514640919764,250.0
sin_1_2_0.2,0.44494998247872963,0.4315936357139427,0.602,0.842,0.6509317372071012,0.6462311110762046,0.5977380789651598,0.2542459914192385,0.4379150530784882,0.71778154586496,1.1733179126054574,250.0
poly_1_1_0.1,0.9371453805815223,0.9371453805815223,0.0,0.302,0.0796009203635093,0.009887565557269795,0.06776584032668273,0.11250006292585171,0.11236890415218923,0.21063723614,0.3210255847291845,500.0
sin_1_2_0.1,0.4570995883983536,0.43619867279469116,0.572,0.868,0.6545295383666926,0.6620038969336799,0.6359386475051128,0.15331866861543086,0.42069325264610963,0.625294887759,1.1388600815404843,250.0
disclosure_x_bias,0.12434460118564773,0.10082325237857769,0.5664652567975831,0.24169184290030213,0.08348598191275672,0.012414768131915143,0.08313814110436053,0.1197680764436412,0.39608924822043967,0.12178495045105828,0.12135861165197886,220.66666666666666
poly_1_2_0.0,0.7310431161724646,0.7275847503390014,0.28,0.57,5.826978984169173e-08,5.339535994477466e-15,0.061805608872354756,0.021934290581162332,0.32092214734047375,0.20350017700000003,0.3952890418891256,250.0
kdd_coil_1,0.7085050789470189,0.30058953672187066,0.4430379746835443,0.27848101265822783,0.13830082779653932,0.034116418255556974,0.13988563956684655,0.1665570756884788,1.8361527649916805,0.1698394463082518,0.25502474642523376,17.555555555555557
nasa_numeric,0.8269395810602258,0.22931905628109162,0.053763440860215055,0.0,0.036137008768880624,0.004020035933790958,0.31356430823645326,0.06547870823567074,3.57252181775571,0.06251754951026543,0.07399929558325814,1.8235294117647058
sin_1_2_0.0,0.5184041856167424,0.34892472369889477,0.498,0.856,0.7282090700097092,0.7402738593842592,0.6729488305558284,0.11508074893987977,0.4514993354091637,0.6494318756272001,1.139058988491399,250.0
