dataset,c1,c2,c3,c4,c5,f2,l1_a,l1_b,l2_a,l2_b,l3_a,l3_b,m2,m5,r2_a,r2_b,s1,s2,s3,s4,s5,s6,s7,t2,t3,t4
cpu,0.94062381513894,0.7535678729399233,0.0,0.009569377990430622,0.4605266369119508,0.3205841426934621,0.026294384484045134,0.026294384484045134,0.0014203398300542576,0.0014203398300542576,0.02661710999017044,0.050100289475527054,0.4572316183419758,0.1792595832329867,0.9108693747168687,0.9108693747168687,0.014387697339455312,0.23008039637436548,0.016278896900319632,0.006524244243988528,1.8307383275615379,True,True,34.833333333333336,0.0,1.0
newton_hema,0.4280791083081641,0.16805743953454927,0.5071428571428571,0.20714285714285716,0.05859534766848149,0.5653794373020581,0.21684013088126372,0.10612958598755853,0.06416814821804746,0.024698888295314813,0.2158964429864608,0.3580432274858032,0.6486168968166222,0.10225360405896539,0.005498987803953415,0.6172077566218556,0.131205035971223,1.2681173551431406,0.10892857142857143,0.22932734083182169,0.6105050271853689,False,False,10.76923076923077,0.8461538461538461,1.0
diggle_table_a1,0.31095252466739826,0.17233886349220215,0.375,0.5416666666666666,0.0729165791997212,0.37884116742840596,0.1709872075698274,0.1709872075698274,0.045163309940705075,0.045163309940705075,0.16596962777373264,0.15830301505733338,0.3333333333333333,0.02247427677241649,0.1456642475696427,0.1456642475696427,0.20322817314746877,0.5382825687062861,0.2191091954022988,0.17344961938637077,0.39221813246857873,False,False,16.0,0.0,0.3333333333333333
boston_corrected,0.8574474622847901,0.5360564997591958,0.2134387351778656,0.04940711462450593,0.3600276781965315,0.3641618151162647,0.07579584087620303,0.07579454378356107,0.010638360241257848,0.010638351800237792,0.07956544632629992,0.07092867904159461,0.47315446353331136,0.1767787312970796,0.7254732546922844,0.7254734725158691,0.08465674382007736,0.996160749341851,0.09782226962978474,0.09298620080271187,0.6531136439641881,True,False,31.625,0.0625,0.6875
tecator,0.9691236457563199,0.439896456989052,0.375,0.0,0.04658336675160603,0.009404328256279336,0.005369907966172033,0.005369907966172033,6.0303603570443166e-05,6.0303603570443166e-05,1558.8353978951386,0.04425737975265046,0.07410465248529721,0.2944254799365498,0.9990260398509117,0.9990260398509117,0.08667117038586704,1.4770682003975926,0.0893988715277778,0.033876094601846825,0.8142531540413727,False,False,1.935483870967742,0.0,0.9838709677419355
hutsof99_logis,0.5677146574794544,0.37135529162700454,0.2714285714285714,0.2571428571428571,0.25332039831557046,0.5847394543470873,0.14138786603758813,0.12891447266112932,0.035732756906653576,0.026120007155481555,0.13747990039636582,0.15896757885946253,0.5839855542819625,0.06344230616862935,0.28518180788371084,0.47748066734058137,0.20233408988817173,1.174193514299449,0.19203856909811232,0.1994584500670115,0.41377202328690815,False,False,11.666666666666666,0.3333333333333333,0.0
dataset_2190_cholesterol,0.19125299023684744,0.09008702107601023,0.5577557755775577,0.1551155115511551,0.238134588074993,0.2627956863542752,0.08487884563438192,0.08450730975703995,0.012768211859614825,0.012243703383853497,0.08320857875437554,0.08612923553897793,0.39638267953354617,0.030272493689619963,0.08326966390730317,0.12092825201305024,0.1250566996280504,1.5424168483076637,0.12123061621230614,0.12200334875582226,0.4282881094124314,True,False,25.25,0.16666666666666666,0.5
hutsof99_child_witness,0.6196954874476959,0.220010955701768,0.2857142857142857,0.38095238095238093,0.42275718762736497,0.17953912722298151,0.11508092685011974,0.11508092685011974,0.020117922131162185,0.020117922131162185,0.20201153290715876,0.12273957682244005,0.5253268754399288,0.18735308226960495,0.6439926584687745,0.6439926584687745,0.20549027352621702,1.140408109850622,0.2015615962984384,0.11812103030078393,0.5383880857157983,False,False,3.5,0.0,0.08333333333333333
sleuth_ex1221,0.607012565869477,0.2242957162233415,0.21428571428571427,0.19047619047619047,0.4231894675567768,0.29862465233468166,0.07604172668936761,0.07604172668936761,0.014000399301838511,0.014000399301838511,0.09813726584318126,0.09417815748403252,0.44757306850505374,0.08942087511486015,0.6727542725756359,0.6727542725756359,0.13194863397397225,0.6962198325416834,0.206314151102137,0.07053346543195554,0.631658238481749,True,False,5.25,0.0,0.75
sensory,0.16085840897513218,0.07245969874661447,0.609375,0.3784722222222222,0.02444444444444459,0.24235096359841704,0.12913963549990312,0.12861620126162668,0.0258446404887511,0.0257799102767889,0.1274356442670134,0.12836984493425976,0.4121225469409216,0.049514081255465144,0.04399576298595087,0.04639016104018634,0.1598260869565217,1.301243017959901,0.1381944444444444,0.1452007154445816,0.3193057033414161,True,False,72.0,0.25,0.0
kdd_coil_6,0.5362533649321389,0.26252223529692503,0.5727848101265823,0.12974683544303797,0.29353896795233336,0.2626128279300062,0.09059313733638434,0.09018630247467788,0.02046905930018154,0.018959970946781667,0.0875764630461059,0.09006797072351148,0.5177010973180334,0.07650481395330755,0.24144749778918362,0.2973720388118638,0.09328483868795041,1.8502580713404653,0.11934005335434086,0.11356422339958246,1.8641595263663,True,True,17.555555555555557,0.5555555555555556,0.6666666666666666
rabe_176,0.4893535123786195,0.459551511970373,0.38571428571428573,0.4857142857142857,0.9759747537372601,0.9244152192053775,0.13743674060475544,0.13743674060475544,0.02970741690277678,0.02970741690277678,0.14403934830834833,0.12879006593049386,0.8397088520032701,0.49686846907040444,0.20625866054089326,0.20625866054089326,0.18410098164211777,0.4041922659901264,0.20746363044309302,0.15065769653927102,0.34095697262103924,False,False,23.333333333333332,0.0,0.3333333333333333
treepipit,0.3207374667409731,0.16018534969268944,0.5581395348837209,0.3953488372093023,0.229666308899866,0.24259703558499465,0.16939729394476302,0.16939729394476302,0.0460696729803686,0.0460696729803686,0.16652340538925584,0.16308448954571267,0.4600852635725732,0.13955054935101177,0.3420145430948295,0.3420145430948295,0.23841536614645853,0.9378278466417794,0.22365923113431418,0.16546153031747635,0.8502089134236749,True,False,10.75,0.0,0.5
dataset_2200_baskball,0.5456987150606025,0.28026311720673663,0.3645833333333333,0.28125,0.15973795854584516,0.31148986924153643,0.09566658727055166,0.09566658727055166,0.01518135476279873,0.01518135476279873,0.09381268737623145,0.09470719518287271,0.2505744109252607,0.018131385714751334,0.4192560623738709,0.4192560623738709,0.14229070735962035,0.5465170548411992,0.14702460933612024,0.10444550380551067,0.414974388324255,True,False,24.0,0.0,0.25
cps_85_wages,0.296087715618402,0.21064324425648911,0.49250936329588013,0.07865168539325842,0.9779612460682171,0.618114808626544,0.07691240932264337,0.0688704498552456,0.011130687421715822,0.009423506781336652,0.12043425966571399,0.10034871413468444,0.8513181036735378,0.0567975688403285,0.20101073679359382,0.32355653745596913,0.09470746802958746,2.1244063587526134,0.1070812346635671,0.1095636161314817,0.6398606643369654,True,False,29.666666666666668,0.8888888888888888,0.7222222222222222
LEV,0.32248729866133197,0.24642294322797664,0.44,0.486,0.060046597199695795,0.6051085730034184,0.1688677462305694,0.1688677462305694,0.04512199415710213,0.04512199415710213,0.1631545146340866,0.16327618372806516,0.6963939519275711,0.04145193057452567,0.2073213400525551,0.2073213400525551,0.24324324324324326,0.7499714221202095,0.185,0.19959550783172184,0.5346472410873306,True,False,333.3333333333333,0.0,0.0
dataset_2197_longley,0.9852941176470588,0.7470588235294118,0.0,0.0,0.6326306405458936,0.3950442343109193,0.029112012794278982,0.029112012794278982,0.0013546165189868664,0.0013546165189868664,0.05977661388495776,0.05965744101426563,0.7254855990584523,0.46867926516126995,0.9873776967532714,0.9873776967532714,0.11332691072575465,0.4882775652293124,0.10024084778420037,0.049360741445354996,0.6607945469820509,False,False,3.2,0.0,0.0
transplant,0.9619045356893051,0.7862088788998214,0.0,0.0,0.7475225433737799,0.5566433475467065,0.02928674374586052,0.02928674374586052,0.002301446410530077,0.002301446410530077,0.02466055274065313,0.028214796843862675,0.6120156581450515,0.10442985638282125,0.9272905797607324,0.9272905797607324,0.043301069791136015,0.11450640001355201,0.040341742075729235,0.022644868154279546,1.0012165183270425,True,True,65.5,0.0,1.0
plasma_retinol,0.22685473703775266,0.07569276994204811,0.5111111111111111,0.18412698412698414,0.1931549258957399,0.16488343578545314,0.09741375953037176,0.09535759043540931,0.01707098074615806,0.016244457619538948,0.09658824346092311,0.09896317526387896,0.29790074927787746,0.033437295945585505,0.05957702566448375,0.10510934443692266,0.13424965848680853,1.7375404985628113,0.13475247118657974,0.16538713169988403,0.4921385494158584,True,False,18.529411764705884,0.4117647058823529,0.6470588235294118
visualizing_hamster,0.16409172599931232,0.0798422546773082,0.5068493150684932,0.684931506849315,0.6049984256282267,0.3935313855919117,0.20646287149505171,0.20646287149505171,0.06202004723953912,0.06202004723953912,0.20160435384004488,0.1994900833682612,0.4589777027448719,0.12783577073298708,0.08335037402685996,0.08335037402685996,0.24209607194580707,0.623820970473451,0.25369610232154455,0.154321484586823,0.7041189720750625,False,False,14.6,0.0,0.4
