dataset,c1,c2,c3,c4,c5,f2,l1_a,l1_b,l2_a,l2_b,l3_a,l3_b,m2,m5,r2_a,r2_b,s1,s2,s3,s4,s5,s6,s7,t2,t3,t4
poly_1_10_0.2_23,0.4878439033756134,0.2550748730994924,0.426,0.426,0.031923938005007084,0.31307606369725793,0.15928015832948852,0.15928015832948852,0.038900469418316604,0.038900469418316604,0.20209125525918406,0.2008590735507787,0.404326822964557,0.002956268077171055,0.8884155845781262,0.8884155845781262,0.3859619715707829,1.2073668969901847,0.5271341787266567,0.23032017181813064,0.08839177096060553,True,False,50.0,0.0,0.0
sin_1_2_0.1_38,0.5574020376081504,0.29783413533654135,0.406,0.826,0.040385506256887714,0.5019567853620461,0.7092034086136958,0.7092034086136958,0.7081816458049716,0.7081816458049716,0.6743092412954471,0.6783489452468271,0.9598769784500254,0.0,0.2963691520366091,0.2963691520366091,0.16419263224921105,0.42006551217339516,0.6567010686520414,0.48651441939192114,-20.379486418153622,False,True,250.0,0.0,0.0
poly_3_2_1.0_0,0.24067411469645877,0.19946143784575138,0.512,0.868,0.0008063821325146993,0.7260578946167975,0.8333513254432987,0.8333513254432987,1.1024054448142646,1.1024054448142646,0.8159405428680364,0.8186281888479868,0.6010169928138447,0.0,0.08894664900124205,0.08894664900124205,1.1892553267709371,0.5117662019268886,1.2237997380093453,1.055916058817543,0.725966503711336,True,False,250.0,0.0,0.0
poly_3_5_0.1_11,0.5175241500966004,0.405318805275221,0.364,0.58,0.04761547002321779,0.5755919790302365,0.16450051698991125,0.16450051698991125,0.04107438708918385,0.04107438708918385,0.2292043952831134,0.22543942239417658,0.6385550458193568,0.0031268557292129734,0.9170368483291116,0.9170368483291116,0.2499135562806548,0.7913707613327751,0.5201650879272527,0.24521881611869206,0.1444769842011407,True,False,100.0,0.0,0.0
sin_3_2_0.1_40,0.08277172308689235,0.07649003396013584,0.564,0.882,0.02019397567881806,0.8573613730492431,0.7973991439648964,0.7973991439648964,0.9719563669806112,0.9719563669806112,0.7929188644163655,0.7913277478834994,0.9850088485645259,0.0,0.0123895035946332,0.0123895035946332,0.35904283044143637,0.5420400718910344,0.7284609084492757,0.9725750288813201,10.697417639072471,False,True,250.0,0.0,0.0
sin_3_2_0.0_20,0.08922890091560366,0.07971334285337142,0.558,0.85,0.028963123141135753,0.9788954826644163,0.7965014518339755,0.7965014518339755,0.9565325902015425,0.9565325902015425,0.7900516545389996,0.78785140078775,0.8978120297920336,0.0,0.011330027707723733,0.011330027707723733,0.3448154035287334,0.5137513302220831,0.6774155387754236,0.9164403333428739,75.6262697429613,False,True,250.0,0.0,0.0
sin_3_1_0.1_6,0.22235416941667768,0.22235416941667768,0.586,0.936,0.0,1.0,0.6250866870007674,0.6250866870007674,0.49366978091643043,0.49366978091643043,0.6177818972373568,0.6012044234684543,1.0,0.0,0.05384280331041913,0.05384280331041913,0.12269743805866508,0.32419826099209115,0.48964700967708574,0.5896122882777398,21.2462126357149,False,True,500.0,0.0,0.0
sin_1_5_0.5_36,0.3277581750327001,0.19615531902127606,0.486,0.824,0.034897121949145744,0.47647562872200766,1.1636660472924805,1.1636660472924805,2.0495783877186127,2.0495783877186127,1.096340847903765,1.09964767550796,0.8619418443966851,0.005719970540354774,0.27394099852495724,0.27394099852495724,0.9771460183299158,0.8294967117688926,1.303213692729053,1.0684044179499,159.83169219421382,True,True,100.0,0.0,0.0
poly_1_1_0.0_39,1.0,1.0,0.0,0.0,0.0,1.0,1.1668443988810395e-16,1.1668443988810395e-16,2.5114126474809557e-32,2.5114126474809557e-32,0.0006365606808870282,0.047282674287368195,1.0,0.0,1.0,1.0,0.0018779696794078236,0.0020046893238416063,0.15014985149489748,0.0009884687162114224,0.3061620401340315,False,False,500.0,0.0,0.0
poly_5_2_0.0_24,0.9785079140316562,0.5946159624638498,0.0,0.41,0.03804919529545663,0.5027452495651299,0.10772523092093314,0.10772523092093314,0.017369691205628663,0.017369691205628663,0.11027339832971395,0.10469526524117641,0.5116448984524895,0.0,0.9029378319680239,0.9029378319680239,0.02990672029357977,0.30791331224456986,0.2506722617530662,0.02727482472599671,0.3091311614785722,True,False,250.0,0.0,0.0
sin_1_10_0.5_36,0.2450278281113124,0.127676699506798,0.53,0.834,0.03126686182753005,0.40564499228253154,1.5160848467844317,1.5160848467844317,3.5213168100493113,3.5213168100493113,1.4375938529166783,1.4183155331254707,0.45344846719513504,0.0027516035417616373,0.26050076611409767,0.26050076611409767,1.953955425853193,1.262830893599806,2.1610556842608695,1.3799878478754166,-21.694525428336572,True,True,50.0,0.0,0.0
poly_1_5_0.1_16,0.6275436621746487,0.3675152748610994,0.304,0.354,0.04273461061491843,0.4463020970760769,0.07855677995630098,0.07855677995630098,0.009963265575854521,0.009963265575854521,0.11001700384923976,0.10981993860163737,0.4769070707081323,0.0035481374547728837,0.9343061309294729,0.9343061309294729,0.15754542574242653,0.7732057188330067,0.30820621544243043,0.13330566261063934,0.08292115379688737,False,False,100.0,0.0,0.0
poly_3_5_0.2_29,0.5145439141756567,0.40551299485197945,0.386,0.566,0.025258232399973518,0.6250921184035703,0.18026908865737962,0.18026908865737962,0.050342033364116315,0.050342033364116315,0.23803649109055333,0.23689239134187637,0.49190894645547134,0.000726305289278852,0.8987414305787136,0.8987414305787136,0.3039179808609001,0.7752674220816518,0.562263925006241,0.2620138183281378,0.1802065272399069,True,False,100.0,0.0,0.0
sin_1_2_1.0_15,0.2709327637310549,0.13612192048768193,0.448,0.896,0.05004733417966831,0.5003500031551806,1.0800682879260577,1.0800682879260577,1.8015623589006156,1.8015623589006156,1.0656137291215488,1.0659714347647884,0.8571980427629935,0.006301788841302288,0.07157382381517408,0.07157382381517408,1.1011636592843663,0.48831338316738043,1.333059307859779,1.2210855615270464,-8.800812117556948,True,True,250.0,0.0,0.0
sin_1_1_1.0_47,0.29952523010092036,0.29952523010092036,0.668,0.926,0.0,1.0,0.9109371550251174,0.9109371550251174,1.3451055291433103,1.3451055291433103,0.8894879111271,0.8909751469065177,1.0,0.0,0.09759625004159345,0.09759625004159345,1.1142776139320405,0.3135069293052917,1.2441953641203536,1.1700999913987753,-22.566476666137333,True,True,500.0,0.0,0.0
poly_1_5_0.2_4,0.5407027708110832,0.3493756183024732,0.37,0.404,0.039206581743124594,0.4970003944706761,0.16382061235057416,0.16382061235057416,0.042528994121290825,0.042528994121290825,0.16298619305557,0.16298118982484436,0.5095426541701914,0.0037097833807134494,0.7527027446693509,0.7527027446693509,0.2582122577568137,0.7961022692555189,0.36955211301127916,0.19348102921178847,0.1009477043495624,True,False,100.0,0.0,0.0
