dataset,mse_grid_search,nmse_grid_search,p_grid_search
Brainsize,0.025917926903366018,0.35690531503277156,"{'C': 32768, 'epsilon': 0.0078125, 'gamma': 0.000244140625, 'kernel': 'rbf'}"
ERA,0.03990010109838055,0.6272039638012137,"{'C': 16384, 'epsilon': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
ESL,0.0041704280779808695,0.12572820174842236,"{'C': 64, 'epsilon': 0.0625, 'gamma': 0.0625, 'kernel': 'rbf'}"
HappinessRank_2015,4.8942038901731666e-06,0.00011481993366369014,"{'C': 32768, 'epsilon': 0.00390625, 'gamma': 3.0517578125e-05, 'kernel': 'rbf'}"
LEV,0.03172688325740776,0.502832423101446,"{'C': 16384, 'epsilon': 0.0625, 'gamma': 8, 'kernel': 'rbf'}"
MercuryinBass,0.00340227370585697,0.05017567897567898,"{'C': 256, 'epsilon': 0.00390625, 'gamma': 0.0078125, 'kernel': 'rbf'}"
SMSA,3.258514831354202e-05,0.0003948683072336756,"{'C': 32768, 'epsilon': 0.00390625, 'gamma': 6.103515625e-05, 'kernel': 'rbf'}"
SWD,0.04508866631010124,0.5497412555697251,"{'C': 0.25, 'epsilon': 0.0625, 'gamma': 1, 'kernel': 'rbf'}"
analcatdata_galapagos,0.032177118918765006,0.8262357742294292,"{'C': 8, 'epsilon': 0.00390625, 'gamma': 0.125, 'kernel': 'rbf'}"
analcatdata_gviolence,0.0058560580847796485,0.06473070806160508,"{'C': 32768, 'epsilon': 0.0078125, 'gamma': 0.0078125, 'kernel': 'rbf'}"
analcatdata_michiganacc,0.02398376549095718,0.43037743206671897,"{'C': 4096, 'epsilon': 0.125, 'gamma': 6.103515625e-05, 'kernel': 'rbf'}"
analcatdata_negotiation,0.02282365087872208,0.42490347061262135,"{'C': 2048, 'epsilon': 0.0078125, 'gamma': 6.103515625e-05, 'kernel': 'rbf'}"
analcatdata_olympic2000,0.004420809925187277,0.04167958940022065,"{'C': 128, 'epsilon': 0.00390625, 'gamma': 0.25, 'kernel': 'rbf'}"
analcatdata_runshoes,0.02660190786289088,0.2506548408369924,"{'C': 4, 'epsilon': 0.03125, 'gamma': 0.5, 'kernel': 'rbf'}"
arsenic-female-bladder,0.004634763968663345,0.023010535699629076,"{'C': 8192, 'epsilon': 0.015625, 'gamma': 1, 'kernel': 'rbf'}"
arsenic-male-bladder,0.005188156108385381,0.01250622590339423,"{'C': 16384, 'epsilon': 0.0078125, 'gamma': 0.5, 'kernel': 'rbf'}"
arsenic-male-lung,0.006601712731522807,0.9294689427271516,"{'C': 16384, 'epsilon': 0.00390625, 'gamma': 0.000244140625, 'kernel': 'rbf'}"
auto93,0.0075536282197486634,0.08495856492580756,"{'C': 128, 'epsilon': 0.0078125, 'gamma': 0.015625, 'kernel': 'rbf'}"
balloon,0.0023031950230897763,0.7779957606334594,"{'C': 32768, 'epsilon': 0.0625, 'gamma': 0.25, 'kernel': 'rbf'}"
baseball,0.004478585368594496,0.11863621023402593,"{'C': 8192, 'epsilon': 0.03125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
benzo32,0.039416101209453415,0.3113013920529971,"{'C': 2, 'epsilon': 0.125, 'gamma': 0.25, 'kernel': 'rbf'}"
bodyfat,0.000610598702495926,0.01389297671916645,"{'C': 8, 'epsilon': 0.00390625, 'gamma': 0.25, 'kernel': 'rbf'}"
boston,0.009975260318657487,0.09608887901375418,"{'C': 2, 'epsilon': 0.00390625, 'gamma': 0.5, 'kernel': 'rbf'}"
boston_corrected,0.012035531342990305,0.2050998498109885,"{'C': 1, 'epsilon': 0.03125, 'gamma': 0.125, 'kernel': 'rbf'}"
chatfield_4,0.00454482246240568,0.11671276051477664,"{'C': 16384, 'epsilon': 0.00390625, 'gamma': 3.0517578125e-05, 'kernel': 'rbf'}"
chscase_geyser1,0.012679598056368143,0.2093925230370124,"{'C': 8, 'epsilon': 0.0625, 'gamma': 0.5, 'kernel': 'rbf'}"
chscase_vine1,0.006603685828008948,0.11547528776173388,"{'C': 256, 'epsilon': 0.0625, 'gamma': 0.03125, 'kernel': 'rbf'}"
cocomo_numeric,0.012008931309523229,0.0015981192533186528,"{'C': 256, 'epsilon': 0.00390625, 'gamma': 0.03125, 'kernel': 'rbf'}"
colleges_usnews,0.016038697347768097,0.4547924704551398,"{'C': 128, 'epsilon': 0.0625, 'gamma': 0.001953125, 'kernel': 'rbf'}"
cps_85_wages,0.00994321396679878,0.6449312169622263,"{'C': 1024, 'epsilon': 0.0625, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
cpu,6.749544222804467e-05,0.000347623670355679,"{'C': 32768, 'epsilon': 0.00390625, 'gamma': 0.0625, 'kernel': 'rbf'}"
cpu.with.vendor,6.749544222804467e-05,0.000347623670355679,"{'C': 32768, 'epsilon': 0.00390625, 'gamma': 0.0625, 'kernel': 'rbf'}"
dataset_2176_mbagrade,0.04339475905074361,0.7142466593440587,"{'C': 2048, 'epsilon': 0.03125, 'gamma': 0.0625, 'kernel': 'rbf'}"
dataset_2180_cleveland,0.044931530053790684,0.4455666536745778,"{'C': 256, 'epsilon': 0.125, 'gamma': 0.0009765625, 'kernel': 'rbf'}"
dataset_2182_autoMpg,0.005175052194924892,0.08650782826475567,"{'C': 1, 'epsilon': 0.015625, 'gamma': 1, 'kernel': 'rbf'}"
dataset_2189_lowbwt,0.013531272320866148,0.3595773130381317,"{'C': 256, 'epsilon': 0.125, 'gamma': 0.000244140625, 'kernel': 'rbf'}"
dataset_2190_cholesterol,0.01326928795161798,0.9005106774895316,"{'C': 16384, 'epsilon': 0.03125, 'gamma': 6.103515625e-05, 'kernel': 'rbf'}"
dataset_2191_sleep,0.03325492753643321,0.36863084088198317,"{'C': 256, 'epsilon': 0.125, 'gamma': 0.015625, 'kernel': 'rbf'}"
