dataset,m_c1,m_c2,m_c3,m_c4,m_l1,m_l2,m_l3,m_s1,m_s2,m_s3,m_s4,m_t2
Brainsize,0.6670480460092835,0.5093793074686971,0.325,0.125,0.11296665364968814,0.020330770008704625,0.16454491827829115,0.17243809386889025,0.9593234702924129,0.18826722735610704,0.2911393338225482,6.666666666666667
ERA,0.3484883749256583,0.19398035068845687,0.462,0.59,0.187166344246314,0.05067069523880221,0.18076751004685518,0.2677677677677678,0.6618777477632372,0.207625,0.2599562669594529,333.3333333333333
ESL,0.8267827981215112,0.7679550183247802,0.0778688524590164,0.03483606557377049,0.05015579229036064,0.0043140200093642715,0.043740001661195155,0.06288501026694045,0.283217632294766,0.10425204918032786,0.20291924959631638,122.0
HappinessRank_2015,0.5324872196831733,0.1324073657122522,0.36075949367088606,0.22151898734177214,7.213967152720135e-05,7.048806385623733e-09,0.08208173548895925,0.1161415029337935,0.7428072093635439,0.14243292364245266,0.21176954100486453,19.75
LEV,0.32248729866133197,0.24642294322797664,0.44,0.486,0.1688677462305694,0.04512199415710213,0.16327618372806516,0.24324324324324326,0.7499714221202095,0.185,0.25489591232389014,333.3333333333333
MercuryinBass,0.20520940530156687,0.10656475940143458,0.6037735849056604,0.9056603773584906,0.2423528110452266,0.10517904689787752,0.2173280080099929,0.2692307692307692,0.9618273625942989,0.3018867924528302,0.3115765244911478,5.888888888888889
SMSA,1.0,0.36966568613127476,0.0,0.0,7.8199850129191e-17,1.0454116247633407e-32,0.031092364419206295,0.04180221210149642,0.8768476751033969,0.06896919304978148,0.0732986044263358,4.214285714285714
SWD,0.5156422249637421,0.28188831789144836,0.333,0.468,0.17282189327219982,0.04631372176473704,0.16452160385977527,0.20220220220220217,1.276915802200626,0.219,0.2766189695926331,166.66666666666666
analcatdata_galapagos,0.1869014302613042,0.11628392441037168,0.36666666666666664,0.0,0.08603090286769301,0.02942105988918759,0.10359734271586048,0.10586457765379824,0.6099407588114809,0.10329307739149492,0.12443070049751832,6.0
analcatdata_gviolence,0.9585690895700928,0.5220983483676995,0.0,0.06756756756756757,0.046669616488901305,0.005328771505249825,0.06350869120707742,0.0593607305936073,0.516614761365624,0.13063063063063063,0.24267913450914408,10.571428571428571
analcatdata_michiganacc,0.5573991892136259,0.28402848919711815,0.6111111111111112,0.3425925925925926,0.12524353780864197,0.024885637573744533,0.14187894930271663,0.1707165109034268,1.076120868827286,0.15586419753086422,0.16693950815152447,21.6
analcatdata_negotiation,0.7673117427897539,0.38568544208861144,0.11956521739130435,0.2391304347826087,0.10731653251159588,0.020742478273076004,0.09835380050158359,0.156043956043956,0.8228719331154625,0.17391304347826084,0.28457382091082123,23.0
analcatdata_olympic2000,1.0,0.7170235475183548,0.0,0.0,0.05169665714512676,0.005254548051903594,0.054028063264200135,0.08448412557092162,0.4935416991609561,0.11885108492379833,0.28854169341335845,6.0
analcatdata_runshoes,0.5415428447928544,0.2686017935938581,0.3333333333333333,0.2,0.12617168581550625,0.026270596555687722,0.13419299620071273,0.16949152542372878,1.1841189582290117,0.19047619047619044,0.2109342223793606,8.571428571428571
analcatdata_vehicle,0.8000660379119803,0.45617800407262027,0.75,0.22916666666666666,0.1083566733169634,0.021521181004231543,0.24748261443584754,0.2572783198150543,0.8212567416113589,0.18494858809085327,0.2735080812454507,16.0
arsenic-female-bladder,0.27034437891406815,0.10045510670450658,0.5652951699463328,0.008944543828264758,0.022761087143001592,0.005494398742166478,0.04559643606450212,0.007331378299120234,0.2864044937944041,0.007922310247891643,0.016400455396137163,139.75
arsenic-male-bladder,0.22948604333817263,0.09326806018663295,0.5688729874776386,0.008944543828264758,0.021710412437666672,0.005277677689991665,0.04733937710781649,0.005955334987593051,0.3111495589669151,0.005862116416678135,0.014810846429098528,139.75
arsenic-male-lung,0.2588274738410648,0.09108742418772131,0.6046511627906976,0.014311270125223614,0.02051008489383092,0.005292857318515044,0.05175737358222653,0.004390238141633157,0.30201825542691185,0.004403014326005783,0.014609168066018308,139.75
auto93,0.858390384004881,0.5507902681462821,0.053763440860215055,0.0,0.05382435429628305,0.005600914634278731,0.05885083128902639,0.09126445951336257,1.2534629614598276,0.11628686988260827,0.17129951660333187,5.166666666666667
balloon,0.5224913731525599,0.5224913731525599,0.28285857071464265,0.03948025987006497,0.039152292309563436,0.002611405637998556,0.05750902400165822,0.060201590005678596,0.048546745282753746,0.06455744302749251,0.054958259926690324,2001.0
benzo32,0.36573003180586017,0.09802460425213182,0.46153846153846156,0.37948717948717947,0.13709623205220395,0.02933930566402344,0.13043074484043243,0.20902883505154637,1.35973567844258,0.24160308205128203,0.28155190955161513,6.09375
bodyfat,0.9934043231872762,0.5012197354806606,0.11507936507936507,0.0,0.010109402122891924,0.0006768769056579784,0.03354012748367224,0.06710840847137764,0.5719946866516354,0.12369256474519633,0.1709674926799427,18.0
boston,0.8529141394922163,0.5052029016174647,0.17391304347826086,0.0533596837944664,0.07360550248381531,0.011279889234514572,0.07793219156380576,0.0736237623762376,0.8324889230581787,0.07617918313570488,0.2556747286170538,42.166666666666664
boston_corrected,0.8574474622847901,0.5057138953673364,0.2134387351778656,0.04940711462450593,0.07579454378356107,0.01063835180023779,0.07092867904159461,0.08465674382007736,0.996160749341851,0.09782226962978474,0.19689664310696908,31.625
chatfield_4,0.9336398219849835,0.8525632882843316,0.0,0.00425531914893617,0.04587421621838164,0.003913967403684519,0.03704278768276888,0.07062349606209255,0.4468790284536348,0.08055066744876375,0.1879228002851657,21.363636363636363
chscase_geyser1,0.7629763678093509,0.3825092886380803,0.15765765765765766,0.2882882882882883,0.09185069222852556,0.013033373722028832,0.08675392482911132,0.12516007854520617,0.475660703967442,0.2475777664456909,0.23368888000744345,111.0
chscase_vine1,0.7649988313279392,0.3720393179164066,0.15384615384615385,0.0,0.0660486413989091,0.007288667833585196,0.06161643970721183,0.09887359198998748,0.6939746667987535,0.0834697217675941,0.26069414602689056,6.5
cocomo_numeric,0.9486962525180084,0.20192682711167162,0.0,0.0,0.03792863667894129,0.0029241867535084376,0.09223880490517337,0.0813649532896545,2.5119457021464324,0.07407991913190576,0.14717975058312235,2.727272727272727
