,Dataset,Grid,Proposal
0,cpu,6.749544222804466e-05,0.017323454469478142
1,newton_hema,0.045652273898106464,0.1170605648336573
2,diggle_table_a1,0.04758285493873976,0.06613796801728282
3,boston_corrected,0.012035531342990305,0.04197341695458878
4,tecator,0.00028879872913090463,0.1567734154766509
5,hutsof99_logis,0.031896346470069704,0.05465574185130867
6,dataset_2190_cholesterol,0.01326928795161798,0.014152368365075278
7,hutsof99_child_witness,0.02822122761907441,0.06064703324983595
8,sleuth_ex1221,0.014632350981230047,0.05832836575520768
9,sensory,0.025551474974384758,13.694352281819434
10,kdd_coil_6,0.022230413705215408,0.029038986851739425
11,rabe_176,0.028882595342705767,0.04053970464014134
12,treepipit,0.06352572964934272,0.07379147576576821
13,dataset_2200_baskball,0.016421423648706246,0.028310965009200145
14,cps_85_wages,0.00994321396679878,0.23716095775041118
15,LEV,0.03172688325740776,0.05746263090136017
16,dataset_2197_longley,0.0013647789992188245,0.026217336569952836
17,transplant,0.0019081550996384246,0.02834804513715809
18,plasma_retinol,0.018151738322278708,0.07157220389008431
19,visualizing_hamster,0.06712623607547306,0.07531006614965088
20,MercuryinBass,0.00340227370585697,0.055781642704390864
21,kdd_el_nino-smal,0.003896940379880229,0.033423411515070986
22,dataset_2182_autoMpg,0.0051750521949248925,0.051839889694004194
23,insurance,0.006063601444188724,0.038069799864171396
24,analcatdata_galapagos,0.032177118918765006,0.036463127141650474
25,SWD,0.045088666310101236,0.07785639870830309
26,boston,0.009975260318657487,0.04319563453875951
27,disclosure_x_noise,0.016317952933458498,0.7798437322017756
28,witmer_census_1980,0.018399850013553945,0.05460449625819254
29,colleges_usnews,0.016038697347768097,0.029796865791984567
30,rabe_97,0.00011210450445072446,0.09388076128140273
31,chscase_geyser1,0.012679598056368143,0.01808733975512759
32,detroit,0.01546995646031654,0.011721575440123953
33,chatfield_4,0.004544822462405679,0.03479117260804754
34,visualizing_galaxy,0.0017955023737723692,0.0693267474989333
35,meta,0.00385515102449589,0.0042147383464809455
36,analcatdata_michiganacc,0.023983765490957182,0.13270132100956342
37,places,0.019423802079798096,6.9291630457048825
38,dataset_2176_mbagrade,0.043394759050743616,0.05984970854710632
39,cpu.with.vendor,6.749544222804466e-05,0.017323454469478142
40,ESL,0.0041704280779808695,0.015646125220877334
41,iq_brain_size,0.07048939388759883,0.09691477321973835
42,visualizing_ethanol,0.08775956402393041,0.08888191270509652
43,arsenic-male-lung,0.006601712731522807,0.006857098892031699
44,rabe_131,0.1228483534563639,0.07306077248876405
45,Brainsize,0.025917926903366015,0.06321958253736369
46,dataset_2198_diabetes_numeric,0.025786525743110342,0.040604040216660475
47,no2,0.006545085652158008,0.010030689046224471
48,bodyfat,0.000610598702495926,0.12535786876974742
49,analcatdata_gviolence,0.005856058084779649,0.08677029509067434
50,SMSA,3.2585148313542024e-05,0.022806699961912626
51,cocomo_numeric,0.012008931309523229,0.041051920364061564
52,balloon,0.0023031950230897767,0.008296212779601164
53,analcatdata_runshoes,0.02660190786289088,0.05839691146660656
54,quake,0.02995424006152402,28.64191358679408
55,pm10,0.02706173633108044,0.03561755978085222
56,disclosure_x_bias,0.012641555894696227,0.2918061830872708
57,arsenic-male-bladder,0.005188156108385382,0.006693990460761856
58,analcatdata_negotiation,0.022823650878722082,0.055851444538522685
59,dataset_2191_sleep,0.033254927536433214,0.07329563847103444
60,mu284,0.028427898111221744,0.07824849344955753
61,schlvote,0.02889867288779048,0.3900834532951425
62,kidney,0.049937008844536855,0.06356545848370145
63,socmob,0.0021234274281550112,0.012808493049324738
64,pubexpendat,0.023027628467079658,0.26910947780391703
65,kdd_coil_5,0.015997484441492054,0.02045700650680023
66,auto93,0.007553628219748663,0.03503581408977084
67,humans_numeric,0.06073073293599729,0.05351233542540237
68,analcatdata_olympic2000,0.004420809925187277,0.0485375137251576
69,veteran,0.021100829987675283,0.02799530008379155
70,qqdefects_numeric,0.05560435246542495,0.07857111294275274
71,HappinessRank_2015,4.894203890173167e-06,0.030895481361794465
72,humandevel,0.019800456364526955,3.0130120099548376
73,dataset_2189_lowbwt,0.013531272320866148,0.029360029667271952
74,pah,0.008790435770268857,0.06881580076374076
75,chscase_vine1,0.006603685828008948,0.033861898801473514
76,ERA,0.03990010109838055,0.06151758990185106
77,sleep,0.010167129965391337,0.2995215597609584
78,disclosure_z,0.013874781745730766,1.5355059797178627
79,arsenic-female-bladder,0.004634763968663345,0.0067479661292186785
80,kdd_coil_3,0.0208188534412779,0.024480978772327407
81,benzo32,0.03941610120945342,0.061696636067841606
82,pollution,0.014025033028632108,0.037487685369244406
83,dataset_2214_elusage,0.01177518028656305,0.07214872400882874
84,dataset_2196_cloud,0.004289106922786794,0.025914998039801452
85,dataset_2180_cleveland,0.044931530053790684,0.10747248174887322
86,dataset_8_liver-disorders,0.2274042405289675,0.3693480032469831
87,kdd_coil_7,0.02521793794087137,0.40119245637862455
88,dataset_2212_gascons,0.0025026139743740496,0.01571379876306594
89,kdd_coil_2,0.019896088511269804,0.02272084319528864
90,nflpass,0.0009268069209007988,0.06714485129314852
91,kdd_coil_1,0.03780565376600239,0.10937389254760177
92,nasa_numeric,0.014611873820530032,0.06665549510368221
